Spider-Man Homecoming 2017 UHD BluRay 2160p TrueHD Atmos 7.1 HEVC REMUX-FraMeSToR.srt,Spider-Man: Homecoming,2010,Marvel,MCU
Spider-Man.2.2004.UHD.BluRay.2160p.TrueHD.Atmos.7.1.HEVC.REMUX-FraMeSToR.srt,Spider-Man 2,2000,Marvel,Spider-Man
Spider-Man.2002.UHD.BluRay.2160p.TrueHD.Atmos.7.1.HEVC.REMUX-FraMeSToR.srt,Spider-Man,2000,Marvel,Spider-Man
Spider-Man.3.2007.2160p.BluRay.Remux_eng.srt,Spider-Man 3,2000,Marvel,Spider-Man
Suicide.Squad.2016.UHD.BluRay.2160p.TrueHD.Atmos.7.1.HEVC.REMUX-FraMeSToR.srt,Suicide Squad,2010,DC,DCEU
Supergirl.1984.720p.BluRay.x264-PSYCHD.srt,Supergirl,1980,DC,Superman
Superman - The Movie (1978).srt,Superman,1970,DC,Superman
Superman II (1980).srt,Superman 2,1980,DC,Superman
Superman.III.1983.BluRay.720p.DTS.x264-CHD.srt,Superman 3,1980,DC,Superman
Superman.IV.1987.BrRip.720p.264.YIFY.srt,Superman 4,1980,DC,Superman
Swamp Thing.srt,Swamp Thing,1980,DC,Swamp
TMNT.2007.1080p.BluRay.H264.AAC-RARBG.srt,Teenage Mutant Ninja Turtles,2000,Mirage Studios,single
Teenage.Mutant.Ninja.Turtles.1990.1080p.Bluray.x264.anoXmous.en.srt,Teenage Mutant Ninja Turtles (1990),1990,Mirage Studios,TMNT
Teenage.Mutant.Ninja.Turtles.2 - The.Secret.Of.The.Ooze.(1991) - SweSub - Jaanet.srt,Teenage Mutant Ninja Turtles 2: The Secret Of The Ooze,1990,Mirage Studios,TMNT
Teenage.Mutant.Ninja.Turtles.2014.720p.HDRip.x264.AC3.5.1-RARBG.srt,Teenage Mutant Ninja Turtles (2014),2010,Mirage Studios,single
Teenage.Mutant.Ninja.Turtles.III.1993.1080p.Bluray.x264.anoXmous.en.srt,Teenage Mutant Ninja Turtles 3,1990,Mirage Studios,TMNT
The Avengers.srt,The Avengers,2010,Marvel,MCU
The Crow 1994 mHD Bluray DD2.0 x264-TRiM.eng.srt,The Crow,1990,Image,Crow
The Dark Knight Rises (2012).srt,The Dark Knight Rises,2010,DC,BatmanNolan
The Incredible Hulk (2008) (1080p BluRay x265 10bit Tigole).srt,The Incredible Hulk,2000,Marvel,MCU
The Punisher 2004 EXTENDED BluRay x264-CREEPSHOW.srt,The Punisher (2000),2000,DC,Punisher
The Return Of Swamp Thing (1989) [English].srt,The Return Of Swamp Thing,1980,DC,Swamp
The.Amazing.Spider-Man.2.2014.UHD.BluRay.2160p.TrueHD.Atmos.7.1.HEVC.REMUX-FraMeSToR.srt,The Amazing Spider-Man 2,2010,Marvel,AmSpider-Man
The.Amazing.Spiderman.2012.2160p.BluRay.REMUX.HEVC.DTS-HD.MA.TrueHD.7.1.Atmos-FGT.srt,The Amazing Spider-Man,2010,Marvel,AmSpider-Man
The.Crow.Salvation.2000.BluRay.720p.Ganool.srt,The Crow: Salvation,2000,Image,Crow
The.Crow.Wicked.Prayer.2005.720p.BluRay.srt,The Crow: Wicked Prayer,2000,Image,Crow
The.Dark.Knight.2008.srt,The Dark Knight,2000,DC,BatmanNolan
The.League.of.Extraordinary.Gentlemen.2003.720p.BluRay.x264.Pahe.srt,The League of Extraordinary Gentlemen,2000,DC,single
The.Mask.1994.1080p.BluRay.x264.anoXmous_eng.srt,The Mask,1990,Dark Horse,single
The.Punisher.1989.UNRATED.READ.NFO.1080p.x264-CREEPSHOW.srt,The Punisher (1989),1980,DC,single
The.Rocketeer.1991.1080p.BluRay.x264.en.srt,Rocketeer,1990,Pacific Comics,single
The.Spirit.2008.1080p.BluRay.x264.YIFY.English.srt,The Spirit,2000,DC,single
